"","name","accept_rate","Outstate","Enroll","Grad.Rate","Private","isElite"
"1","Abilene Christian University",0.742168674698795,7440,721,60,"Yes","Not Elite"
"2","Adelphi University",0.880146386093321,12280,512,56,"Yes","Not Elite"
"3","Adrian College",0.768207282913165,11250,336,54,"Yes","Not Elite"
"4","Agnes Scott College",0.836930455635492,12960,137,59,"Yes","Elite"
"5","Alaska Pacific University",0.756476683937824,7560,55,15,"Yes","Not Elite"
"6","Albertson College",0.816013628620102,13500,158,55,"Yes","Not Elite"
"7","Albertus Magnus College",0.963172804532578,13290,103,63,"Yes","Not Elite"
"8","Albion College",0.905739863085835,13868,489,73,"Yes","Not Elite"
"9","Albright College",0.808285163776493,15595,227,80,"Yes","Not Elite"
"10","Alderson-Broaddus College",0.855670103092783,10468,172,52,"Yes","Not Elite"
"11","Alfred University",0.822748267898383,16548,472,73,"Yes","Not Elite"
"12","Allegheny College",0.716440422322775,17080,484,76,"Yes","Not Elite"
"13","Allentown Coll. of St. Francis de Sales",0.661577608142494,9690,290,74,"Yes","Not Elite"
"14","Alma College",0.85240726124704,12572,385,68,"Yes","Not Elite"
"15","Alverno College",0.633603238866397,8352,157,55,"Yes","Not Elite"
"16","American International College",0.769718309859155,8700,220,69,"Yes","Not Elite"
"17","Amherst College",0.230590423059042,19760,418,100,"Yes","Elite"
"18","Anderson University",0.746710526315789,10100,423,59,"Yes","Not Elite"
"19","Andrews University",0.623008849557522,9996,322,46,"Yes","Not Elite"
"20","Angelo State University",0.565254237288136,5130,1016,34,"No","Not Elite"
"21","Antioch University",0.927068723702665,15476,252,48,"Yes","Not Elite"
"22","Appalachian State University",0.63776835771913,6806,1910,70,"No","Not Elite"
"23","Aquinas College",0.833602584814216,11208,219,65,"Yes","Not Elite"
"24","Arizona State University Main campus",0.804746662502928,7434,3761,48,"No","Not Elite"
"25","Arkansas College (Lyon College)",0.471751412429379,8644,166,54,"Yes","Not Elite"
"26","Arkansas Tech University",0.997116493656286,3460,951,48,"No","Not Elite"
"27","Assumption College",0.796252927400468,12000,491,88,"Yes","Not Elite"
"28","Auburn University-Main Campus",0.899708532061473,6300,3070,69,"No","Not Elite"
"29","Augsburg College",0.774924471299094,11902,257,58,"Yes","Not Elite"
"30","Augustana College IL",0.882384246939862,13353,497,71,"Yes","Not Elite"
"31","Augustana College",0.9526938239159,10990,306,69,"Yes","Not Elite"
"32","Austin College",0.841772151898734,11280,295,71,"Yes","Not Elite"
"33","Averett College",0.886762360446571,9925,172,48,"Yes","Not Elite"
"34","Baker University",0.802325581395349,8620,206,65,"Yes","Not Elite"
"35","Baldwin-Wallace College",0.808284023668639,10995,662,85,"Yes","Not Elite"
"36","Barat College",0.735632183908046,9690,111,71,"Yes","Not Elite"
"37","Bard College",0.438743455497382,19264,285,79,"Yes","Not Elite"
"38","Barnard College",0.561698717948718,17926,531,91,"Yes","Elite"
"39","Barry University",0.791919191919192,11290,279,72,"Yes","Not Elite"
"40","Baylor University",0.880493827160494,6450,2367,72,"Yes","Not Elite"
"41","Beaver College",0.730868443680138,12850,348,73,"Yes","Not Elite"
"42","Bellarmine College",0.876084262701363,8840,308,84,"Yes","Not Elite"
"43","Belmont Abbey College",0.781645569620253,9000,129,52,"Yes","Not Elite"
"44","Belmont University",0.798360655737705,7800,481,49,"Yes","Not Elite"
"45","Beloit College",0.699242424242424,16304,284,69,"Yes","Not Elite"
"46","Bemidji State University",0.725993377483444,4425,546,46,"No","Not Elite"
"47","Benedictine College",0.981012658227848,9550,222,58,"Yes","Not Elite"
"48","Bennington College",0.630057803468208,21700,114,55,"Yes","Not Elite"
"49","Bentley College",0.672244662435084,13800,640,82,"Yes","Not Elite"
"50","Berry College",0.657158234660926,8050,480,63,"Yes","Not Elite"
"51","Bethany College",0.929384965831435,8740,200,48,"Yes","Not Elite"
"52","Bethel College KS",0.910891089108911,8540,122,56,"Yes","Not Elite"
"53","Bethel College",0.764940239043825,6200,104,35,"Yes","Not Elite"
"54","Bethune Cookman College",0.698663426488457,5188,542,58,"Yes","Not Elite"
"55","Birmingham-Southern College",0.730434782608696,11660,287,72,"Yes","Elite"
"56","Blackburn College",0.672,6500,156,51,"Yes","Not Elite"
"57","Bloomsburg Univ. of Pennsylvania",0.447069245533737,7844,1025,75,"No","Not Elite"
"58","Bluefield College",0.949602122015915,7150,181,53,"Yes","Not Elite"
"59","Bluffton College",0.742774566473988,9900,209,58,"Yes","Not Elite"
"60","Boston University",0.644166006339144,18420,3810,72,"Yes","Not Elite"
"61","Bowdoin College",0.303635280095352,19030,418,96,"Yes","Elite"
"62","Bowling Green State University",0.792671062587828,7452,3076,67,"No","Not Elite"
"63","Bradford College",0.744920993227991,14080,151,46,"Yes","Not Elite"
"64","Bradley University",0.90629147863021,10870,1061,85,"Yes","Not Elite"
"65","Brandeis University",0.65527950310559,19380,740,84,"Yes","Not Elite"
"66","Brenau University",0.746594005449591,9592,158,49,"Yes","Not Elite"
"67","Brewton-Parker College",0.855153203342618,4371,1202,18,"Yes","Not Elite"
"68","Briar Cliff College",0.895408163265306,10260,155,58,"Yes","Not Elite"
"69","Bridgewater College",0.803102625298329,10265,292,82,"Yes","Not Elite"
"70","Brigham Young University at Provo",0.73346911065852,2340,4615,33,"Yes","Not Elite"
"71","Brown University",0.257349435881138,19528,1462,97,"Yes","Elite"
"72","Bryn Mawr College",0.552901023890785,18165,313,89,"Yes","Elite"
"73","Bucknell University",0.582315210751374,18550,862,93,"Yes","Not Elite"
"74","Buena Vista College",0.8,13306,285,78,"Yes","Not Elite"
"75","Butler University",0.862404741744284,13130,700,83,"Yes","Not Elite"
"76","Cabrini College",0.824707846410685,10518,224,71,"Yes","Not Elite"
"77","Caldwell College",0.597428288822948,8900,213,55,"Yes","Not Elite"
"78","California Lutheran University",0.438721136767318,12950,247,60,"Yes","Not Elite"
"79","California Polytechnic-San Luis",0.488669824606324,7380,1650,59,"No","Not Elite"
"80","California State University at Fresno",0.725550660792951,7706,1483,61,"No","Not Elite"
"81","Calvin College",0.847533632286996,10230,913,81,"Yes","Not Elite"
"82","Campbell University",0.641590800191663,7550,657,63,"Yes","Not Elite"
"83","Campbellsville College",0.692216981132076,6060,298,49,"Yes","Not Elite"
"84","Canisius College",0.768664563617245,10750,753,64,"Yes","Not Elite"
"85","Capital University",0.79107040641099,13050,449,83,"Yes","Not Elite"
"86","Capitol College",0.9,8400,35,52,"Yes","Not Elite"
"87","Carleton College",0.586117297698589,19292,489,91,"Yes","Elite"
"88","Carnegie Mellon University",0.59589825847846,17900,1191,74,"Yes","Elite"
"89","Carroll College",0.854310344827586,12200,352,79,"Yes","Not Elite"
"90","Carson-Newman College",0.867700729927007,8150,464,67,"Yes","Not Elite"
"91","Carthage College",0.883044554455445,13125,434,62,"Yes","Not Elite"
"92","Case Western Reserve University",0.814031467629611,15700,713,67,"Yes","Elite"
"93","Castleton State College",0.747812251392204,7656,363,79,"No","Not Elite"
"94","Catawba College",0.812557710064635,9270,291,55,"Yes","Not Elite"
"95","Catholic University of America",0.835233751425314,13712,505,75,"Yes","Not Elite"
"96","Cazenovia College",0.89238367559137,9384,527,118,"Yes","Not Elite"
"97","Cedar Crest College",0.782216494845361,14340,198,74,"Yes","Not Elite"
"98","Cedarville College",0.833970925784239,7344,616,64,"Yes","Not Elite"
"99","Centenary College",0.845528455284553,11400,90,24,"Yes","Not Elite"
"100","Centenary College of Louisiana",0.876767676767677,8950,210,66,"Yes","Not Elite"
"101","Center for Creative Studies",0.658901830282862,11230,203,47,"Yes","Not Elite"
"102","Central College",0.867498051441933,10938,401,67,"Yes","Not Elite"
"103","Central Connecticut State University",0.608946608946609,5962,902,49,"No","Not Elite"
"104","Central Missouri State University",0.876094851527451,4620,1436,50,"No","Not Elite"
"105","Central Washington University",0.722082585278277,7242,1007,51,"No","Not Elite"
"106","Central Wesleyan College",0.839080459770115,8300,88,58,"Yes","Not Elite"
"107","Centre College",0.876604146100691,11850,288,74,"Yes","Elite"
"108","Chapman University",0.803962460896767,16624,351,47,"Yes","Not Elite"
"109","Chatham College",0.929245283018868,13500,91,52,"Yes","Not Elite"
"110","Chestnut Hill College",0.742690058479532,10335,126,73,"Yes","Not Elite"
"111","Christendom College",0.888888888888889,8730,51,58,"Yes","Not Elite"
"112","Christian Brothers University",0.590909090909091,9300,224,63,"Yes","Not Elite"
"113","Christopher Newport University",0.867497168742922,7860,428,48,"No","Not Elite"
"114","Claflin College",0.582775919732441,4412,499,21,"Yes","Not Elite"
"115","Claremont McKenna College",0.412365591397849,17000,227,87,"Yes","Elite"
"116","Clark University",0.713197090405265,17500,457,79,"Yes","Not Elite"
"117","Clarke College",0.739130434782609,10740,167,74,"Yes","Not Elite"
"118","Clarkson University",0.898344066237351,15960,557,77,"Yes","Not Elite"
"119","Clemson University",0.651828890266584,8116,2301,73,"No","Not Elite"
"120","Clinch Valley Coll. of  the Univ. of Virginia",0.81422351233672,7168,250,46,"No","Not Elite"
"121","Coe College",0.737574552683897,13925,275,67,"Yes","Not Elite"
"122","Coker College",0.748344370860927,9888,295,75,"Yes","Not Elite"
"123","Colby College",0.46313202247191,18930,456,91,"Yes","Elite"
"124","Colgate University",0.513179571663921,19510,727,93,"Yes","Not Elite"
"125","College Misericordia",0.620111731843575,10860,317,96,"Yes","Not Elite"
"126","College of Charleston",0.658005029337804,6120,1265,51,"No","Not Elite"
"127","College of Mount St. Joseph",0.776942355889724,9800,238,100,"Yes","Not Elite"
"128","College of Mount St. Vincent",0.684989429175476,11790,177,83,"Yes","Not Elite"
"129","College of Notre Dame",0.767441860465116,12600,97,43,"Yes","Not Elite"
"130","College of Notre Dame of Maryland",0.778993435448578,11180,177,75,"Yes","Not Elite"
"131","College of Saint Benedict",0.921108742004264,12247,511,72,"Yes","Not Elite"
"132","College of Saint Catherine",0.804305283757339,12224,186,77,"Yes","Not Elite"
"133","College of Saint Elizabeth",0.808558558558559,10900,122,78,"Yes","Not Elite"
"134","College of Saint Rose",0.675483214649034,9990,249,64,"Yes","Not Elite"
"135","College of Santa Fe",0.818681318681319,11138,189,80,"Yes","Not Elite"
"136","College of St. Joseph",0.836879432624113,8300,55,76,"Yes","Not Elite"
"137","College of St. Scholastica",0.886904761904762,11844,278,72,"Yes","Not Elite"
"138","College of the Holy Cross",0.564796259185037,18000,659,95,"Yes","Elite"
"139","College of William and Mary",0.436419839820149,11720,1217,93,"No","Elite"
"140","College of Wooster",0.896666666666667,16240,553,69,"Yes","Not Elite"
"141","Colorado College",0.491736825693795,17142,490,84,"Yes","Elite"
"142","Colorado State University",0.665963283393121,8412,2194,59,"No","Not Elite"
"143","Columbia College MO",0.503184713375796,8294,132,37,"Yes","Not Elite"
"144","Columbia College",0.833107191316147,10425,242,76,"Yes","Not Elite"
"145","Columbia University",0.28567199526347,18624,871,99,"Yes","Elite"
"146","Concordia College at St. Paul",0.94661921708185,10500,139,45,"Yes","Not Elite"
"147","Concordia Lutheran College",0.931034482758621,6900,106,42,"Yes","Not Elite"
"148","Concordia University CA",0.722383720930233,10800,144,55,"Yes","Not Elite"
"149","Concordia University",0.763257575757576,9216,186,75,"Yes","Not Elite"
"150","Connecticut College",0.509390444810544,18740,438,91,"Yes","Not Elite"
"151","Converse College",0.925,12050,149,75,"Yes","Not Elite"
"152","Cornell College",0.864109232769831,15248,383,64,"Yes","Not Elite"
"153","Creighton University",0.955847657566566,10628,876,85,"Yes","Not Elite"
"154","Culver-Stockton College",0.704314720812183,8000,274,51,"Yes","Not Elite"
"155","Cumberland College",0.792964824120603,6230,398,63,"Yes","Not Elite"
"156","D'Youville College",0.714780600461894,8920,157,46,"Yes","Not Elite"
"157","Dana College",0.956349206349206,9130,185,54,"Yes","Not Elite"
"158","Daniel Webster College",0.868376068376068,12292,153,72,"Yes","Not Elite"
"159","Dartmouth College",0.264702457202748,19545,1087,98,"Yes","Elite"
"160","Davidson College",0.402865571007164,17295,452,94,"Yes","Elite"
"161","Defiance College",0.807355516637478,10850,174,56,"Yes","Not Elite"
"162","Delta State University",0.977249224405377,4528,459,58,"No","Not Elite"
"163","Denison University",0.825126719768284,16900,533,81,"Yes","Not Elite"
"164","DePauw University",0.83049147442327,14300,495,82,"Yes","Not Elite"
"165","Dickinson College",0.842402123424021,18700,487,87,"Yes","Not Elite"
"166","Dickinson State University",0.949308755760369,4486,319,46,"No","Not Elite"
"167","Dillard University",0.688688688688689,6700,651,61,"Yes","Not Elite"
"168","Doane College",0.894073139974779,9570,244,60,"Yes","Not Elite"
"169","Dominican College of Blauvelt",0.913888888888889,8310,108,54,"Yes","Not Elite"
"170","Dordt College",0.93046357615894,9800,328,87,"Yes","Not Elite"
"171","Dowling College",0.81998021760633,9000,410,42,"Yes","Not Elite"
"172","Drake University",0.919256877456234,13420,839,77,"Yes","Not Elite"
"173","Drew University",0.733859730608453,18432,321,83,"Yes","Elite"
"174","Drury College",0.928571428571429,8730,314,67,"Yes","Not Elite"
"175","Duke University",0.282326492131409,18590,1583,97,"Yes","Elite"
"176","Earlham College",0.74079528718704,15036,274,78,"Yes","Not Elite"
"177","East Carolina University",0.686003881820142,7248,2435,58,"No","Not Elite"
"178","East Tennessee State University",0.81981981981982,5800,1303,42,"No","Not Elite"
"179","East Texas Baptist University",0.899736147757256,4950,265,38,"Yes","Not Elite"
"180","Eastern College",0.805676855895197,11190,165,54,"Yes","Not Elite"
"181","Eastern Connecticut State University",0.687384898710866,5962,564,50,"No","Not Elite"
"182","Eastern Illinois University",0.759871359656959,5710,1565,76,"No","Not Elite"
"183","Eastern Mennonite College",0.905349794238683,9650,227,82,"Yes","Not Elite"
"184","Eastern Nazarene College",0.792635658914729,8770,200,70,"Yes","Not Elite"
"185","Eckerd College",0.779887482419128,15360,366,59,"Yes","Not Elite"
"186","Elizabethtown College",0.762515515101365,14190,426,81,"Yes","Not Elite"
"187","Elmira College",0.717227179135209,14990,345,64,"Yes","Not Elite"
"188","Elms College",0.848979591836735,11800,125,86,"Yes","Not Elite"
"189","Elon College",0.768763796909492,9100,858,63,"Yes","Not Elite"
"190","Embry Riddle Aeronautical University",0.82005712472231,7800,958,44,"Yes","Not Elite"
"191","Emory & Henry College",0.844444444444444,8578,226,82,"Yes","Not Elite"
"192","Emory University",0.490007053844345,17600,1236,96,"Yes","Elite"
"193","Emporia State University",1,5401,853,50,"No","Not Elite"
"194","Erskine College",0.845220030349014,10485,167,67,"Yes","Not Elite"
"195","Eureka College",0.810714285714286,10955,113,53,"Yes","Not Elite"
"196","Evergreen State College",0.611327040533037,6297,438,68,"No","Not Elite"
"197","Fairfield University",0.699414715719064,15000,781,94,"Yes","Not Elite"
"198","Fayetteville State University",0.73127147766323,6806,452,24,"No","Not Elite"
"199","Ferrum College",0.826736370425691,9400,336,22,"Yes","Not Elite"
"200","Flagler College",0.504593639575972,5120,338,69,"Yes","Not Elite"
"201","Florida Institute of Technology",0.81150487930149,13900,523,57,"Yes","Not Elite"
"202","Florida International University",0.628856624319419,6597,1071,66,"No","Not Elite"
"203","Florida Southern College",0.753077480086894,8025,374,68,"Yes","Not Elite"
"204","Florida State University",0.745257917775298,6680,3023,58,"No","Not Elite"
"205","Fontbonne College",0.84192439862543,8390,126,62,"Yes","Not Elite"
"206","Fordham University",0.684285714285714,14235,942,80,"Yes","Not Elite"
"207","Fort Lewis College",0.820639534883721,6198,1123,46,"No","Not Elite"
"208","Francis Marion University",0.918933925596891,5840,819,43,"No","Not Elite"
"209","Franciscan University of Steubenville",0.817359855334539,9650,228,83,"Yes","Not Elite"
"210","Franklin College",0.786069651741294,10390,281,60,"Yes","Not Elite"
"211","Franklin Pierce College",0.861962598804704,13320,446,51,"Yes","Not Elite"
"212","Freed-Hardeman University",0.612290502793296,5500,314,62,"Yes","Not Elite"
"213","Fresno Pacific College",0.791907514450867,9900,146,54,"Yes","Elite"
"214","Furman University",0.90282276723739,13440,685,82,"Yes","Elite"
"215","Gannon University",0.774350649350649,10970,678,65,"Yes","Not Elite"
"216","Gardner Webb University",0.837837837837838,8180,332,29,"Yes","Not Elite"
"217","Geneva College",0.79940119760479,9476,237,74,"Yes","Not Elite"
"218","George Fox College",0.897404202719407,12500,294,52,"Yes","Not Elite"
"219","George Mason University",0.765257385459048,10800,1727,46,"No","Not Elite"
"220","George Washington University",0.642793650793651,17450,1492,72,"Yes","Not Elite"
"221","Georgetown College",0.953232462173315,8100,286,55,"Yes","Not Elite"
"222","Georgetown University",0.259199280251912,18300,1390,95,"Yes","Elite"
"223","Georgia Institute of Technology",0.577644506826592,6489,2276,70,"No","Elite"
"224","Georgia State University",0.617189559715265,6744,1238,34,"No","Not Elite"
"225","Georgian Court College",0.807471264367816,9150,127,76,"Yes","Not Elite"
"226","Gettysburg College",0.685761957730812,19964,575,83,"Yes","Not Elite"
"227","Goldey Beacom College",0.739336492890995,6120,284,36,"Yes","Not Elite"
"228","Gonzaga University",0.808059384941676,13000,526,69,"Yes","Not Elite"
"229","Gordon College",0.838278931750742,12200,282,66,"Yes","Not Elite"
"230","Goshen College",0.9,9420,221,72,"Yes","Not Elite"
"231","Goucher College",0.706342311033884,15588,248,77,"Yes","Not Elite"
"232","Grace College and Seminary",0.781021897810219,8958,167,64,"Yes","Not Elite"
"233","Graceland College",0.745945945945946,9100,242,47,"Yes","Not Elite"
"234","Grand Valley State University",0.752565343659245,6108,1561,57,"No","Not Elite"
"235","Green Mountain College",0.805128205128205,11750,198,76,"Yes","Not Elite"
"236","Greensboro College",0.8125,8330,176,39,"Yes","Not Elite"
"237","Greenville College",0.758823529411765,10310,194,60,"Yes","Not Elite"
"238","Grinnell College",0.681216282491417,15688,432,83,"Yes","Elite"
"239","Grove City College",0.445604175030108,5224,573,100,"Yes","Elite"
"240","Guilford College",0.876871880199667,13404,326,65,"Yes","Not Elite"
"241","Gustavus Adolphus College",0.810415447630193,14125,634,80,"Yes","Not Elite"
"242","Gwynedd Mercy College",0.623684210526316,11000,104,96,"Yes","Not Elite"
"243","Hamilton College",0.567834394904459,19700,454,91,"Yes","Not Elite"
"244","Hamline University",0.820079522862823,13252,328,65,"Yes","Not Elite"
"245","Hampden - Sydney College",0.788249694002448,13218,307,69,"Yes","Not Elite"
"246","Hampton University",0.523126219002508,7161,1433,70,"Yes","Not Elite"
"247","Hanover College",0.832007952286282,8200,317,64,"Yes","Not Elite"
"248","Hardin-Simmons University",0.907922912205567,6300,350,38,"Yes","Not Elite"
"249","Harding University",0.620569436374201,5504,806,73,"Yes","Not Elite"
"250","Hartwick College",0.828132501200192,17480,430,73,"Yes","Not Elite"
"251","Harvard University",0.156148575549946,18485,1606,100,"Yes","Elite"
"252","Harvey Mudd College",0.415395787944808,17230,178,100,"Yes","Elite"
"253","Hastings College",0.866585067319461,9376,262,52,"Yes","Not Elite"
"254","Hendrix College",0.876063183475091,8800,274,63,"Yes","Elite"
"255","Hillsdale College",0.809782608695652,11090,347,79,"Yes","Not Elite"
"256","Hiram College",0.790672451193059,14067,244,79,"Yes","Not Elite"
"257","Hobart and William Smith Colleges",0.774181547619048,19029,500,79,"Yes","Not Elite"
"258","Hofstra University",0.788906838987614,11600,1349,60,"Yes","Not Elite"
"259","Hollins College",0.827242524916944,13470,215,72,"Yes","Not Elite"
"260","Hood College",0.80829756795422,13960,176,72,"Yes","Not Elite"
"261","Hope College",0.866238317757009,12275,624,72,"Yes","Not Elite"
"262","Houghton College",0.828240252897787,9990,302,67,"Yes","Not Elite"
"263","Huntingdon College",0.855263157894737,8080,127,44,"Yes","Not Elite"
"264","Huntington College",0.955555555555556,9950,125,47,"Yes","Not Elite"
"265","Huron University",0.328333333333333,7260,124,21,"Yes","Not Elite"
